post_created_time,post_title,post_type,post_shares,post_like,post_love,post_wow,post_haha,post_sad,post_angry,post_thankful
2021-01-07T07:30:01+0000,"[비긴어게인 오픈마이크] 소향(Sohyang)X신용재(Shin Yong Jae) '어떻게 이별까지 사랑하겠어, 널 사랑하는 거지'♬",video_inline,0,371,23,0,0,0,0,0
2021-01-07T07:00:00+0000,[아는 형님-형.친.소] ((예능 열정 ON)) ‘문소리 x 김선영 x 장윤주’ 세 자매가 형님 학교에 전학 왔습니다!,video_inline,0,43,2,0,0,0,0,0
2021-01-07T06:00:00+0000,[팬텀싱어 올스타전] 메이킹🎆 시즌2 올스타팀 | 유니크함으로 승부하는 크로스오버계의 아이돌 ＜포레스텔라＞,video_inline,0,23,3,0,0,0,0,0
2021-01-07T05:30:00+0000,[팬텀싱어 올스타전] 메이킹🎆 시즌2 올스타팀 | 탄탄한 4성부의 호소력 짙은 하모니 ＜에델 라인클랑＞,video_inline,0,17,3,0,0,0,0,0
2021-01-07T05:00:00+0000,[팬텀싱어 올스타전] 메이킹🎆 시즌2 올스타팀 | 파워와 에너지가 넘치는 압도적 클라스 <미라클라스>,video_inline,0,12,1,0,0,0,0,0
2021-01-07T04:00:00+0000,"[선배, 그 립스틱 바르지 마요] 송아's Vlog | 후배의 뜻밖의 사랑 고백😳..?! 회사 후배 현승씨를 소개합니다!",video_inline,0,67,4,0,0,0,0,0
2021-01-07T03:00:01+0000,[서울엔 우리집이 없다] 로망 of 로망 '다락방 침실'을 구현한 인테리어🌟｜JTBC 210106 방송,video_inline,0,45,3,0,0,0,0,0
2021-01-07T02:00:00+0000,[런 온] 커져만 가는 오해… 툭하면 선 긋는 임시완에게 서운한 신세경😥｜JTBC 210106 방송,video_inline,0,24,0,0,0,0,0,0
2021-01-06T10:00:01+0000,[서울엔 우리집이 없다] 11회 예고,video_inline,0,21,2,0,0,0,0,0
2021-01-06T09:00:00+0000,"[7회 예고] 서대표 결혼시킬 거야, 선겸이랑…",video_inline,0,63,3,0,0,0,0,0
2021-01-06T08:30:00+0000,[런 온] 단화ON🔴코멘터리💕 영화를 심쿵하게 만든 단아 대표님의 명대사 탄생⭐ 최수영X강태오의 5-6회 코멘터리!,video_inline,0,31,2,0,0,0,0,0
2021-01-06T08:30:00+0000,[런 온] 겸미ON🔴코멘터리💕 뭐야 뭐야 이 분위기 뭐야~@@ 6회 엔딩 과몰입 중❤️ 임시완X신세경의 5-6회 코멘터리!,video_inline,0,29,3,0,0,0,0,0
2021-01-06T08:00:02+0000,[런 온] 메이킹🏃🏻 미주네 입성한 선겸! 우리집으로 가자🧡 서로의 패턴을 맞춰나가는 6회 비하인드!,video_inline,0,45,5,0,0,0,0,0
2021-01-06T07:00:00+0000,"[라이브온] 메이킹💕 수련회 다녀온 6인방! 피자집, 육교 비하인드💚 LIVE ON #6",video_inline,0,55,31,1,0,0,0,0
2021-01-06T06:00:00+0000,[팬텀싱어 올스타전] 메이킹🎆 시즌1 올스타팀 | 한 편의 느와르가 떠오르는 강렬한 네 남자 <흉스프레소>,video_inline,0,15,1,0,0,0,0,0
2021-01-06T05:00:00+0000,현재 이 콘텐츠를 이용할 수 없습니다,native_templates,0,22,3,0,0,0,0,0
2021-01-06T04:00:00+0000,[팬텀싱어 올스타전] 메이킹🎆 시즌1 올스타팀 | 클래식 크로스오버의 장인 <포르테 디 콰트로>,video_inline,0,15,2,0,0,0,0,0
2021-01-06T03:00:01+0000,[팬텀싱어 올스타전] 티저🔥 시즌3 - 〈팬텀싱어 올스타전〉에서 부르고 싶은 노래는? 2021년 1월 첫 방송!,video_inline,0,21,1,0,0,0,0,0
2021-01-06T02:00:00+0000,"[선배, 그 립스틱 바르지 마요] 통합 3초 티저💕 '선배, 그 립스틱 바르지 마요💄' 3초 티저 개수는 몇 개?!",video_inline,0,70,3,1,0,0,0,0
2021-01-05T09:00:00+0000,[팬텀싱어 올스타전] 티저🔥 시즌2 - 〈팬텀싱어 올스타전〉에서 부르고 싶은 노래는? 2021년 1월 첫 방송!,video_inline,0,29,3,0,0,0,0,0
2021-01-05T08:00:00+0000,[팬텀싱어3 스페셜 콘서트] 예고,video_inline,0,39,1,3,0,0,0,0
2021-01-05T07:00:01+0000,[비긴어게인 오픈마이크] 감탄을 부르는 이하이(LeeHi)의 'Honey'♬,video_inline,0,111,1,0,0,0,0,0
